"Backorders","Ausstehende Bestellung"
"Pre-Orders","Vorbestellungen"
"Status","Status"
"This product is Pre-Order and cannot be shipped","Dieses Produkt ist vorbestellt und kann nicht geliefert werden"
"SKU:","SKU:"
"Ordered","Bestellt"
"Pre-Ordered","Vorbestellt"
"Pre-Order","Vorbestellung"
"In stock","Lagernd"
"Out stock","Nicht lagernd"
"not Available","nicht verfügbar"
"Add to Cart","In den Warenkorb"
"Pre-order","Vorbestellung"
"In Stock","Lagernd"
"Out Stock","Nicht lagernd"
"available","verfügbar"
"Pending Pre-Order","Ausstehende Vorbestellung"
"Processing Pre-Order","Vorbestellung wird bearbeitet"
"Preorders","Vorbestellungen"
"Pre-Order Note","Vorbestellungnotiz"
"Pre-Order Status","Status der Vorbestellung"
"Please note that your order contains Pre-Order products. These products will be shipped to you once they are available.","Please note that your order contains Pre-Order products. These products will be shipped to you once they are available."
