Backorders,Backorders
Pre-Orders,Pre-Orders
Status,Status
"This product is Pre-Order and cannot be shipped","This product is Pre-Order and cannot be shipped"
SKU:,SKU:
Ordered,Ordered
Pre-Ordered,Pre-Ordered
Pre-Order,Pre-Order
"In stock","In stock"
"Out stock","Out stock"
"not Available","not Available"
"Add to Cart","Add to Cart"
Pre-order,Pre-order
"In Stock","In Stock"
"Out Stock","Out Stock"
"Out of Stock", "Out of Stock"
available,available
"Pending Pre-Order","Pending Pre-Order"
"Processing Pre-Order","Processing Pre-Order"
Preorders,Preorders
"Pre-Order Note","Pre-Order Note"
"Pre-Order Status","Pre-Order Status"
"Please note that your order contains Pre-Order products. These products will be shipped to you once they are available.","Please note that your order contains Pre-Order products. These products will be shipped to you once they are available."
"Change status for mixed Orders","Change status for mixed Orders"
"Allow Out-Of-Stock product for Pre-Order","Allow Out-Of-Stock product for Pre-Order"
"Restrict mixing Pre-Orders and regular products in cart","Restrict mixing Pre-Orders and regular products in cart"
"Send Alerts","Send Alerts"
"Email Template","Email Template"
"Email Sender","Email Sender"
"Enabled","Enabled"
"Use Config Settings","Use Config Settings"
"Out-of-Stock Threshold","Out-of-Stock Threshold"
"Allow Out-Of-Stock product for Pre-Order","Allow Out-Of-Stock product for Pre-Order"
