"Add All to Cart","Add All to Cart"
"Add Label","Add Label"
"Add","Add"
"Clickable Area","Clickable Area"
"Delete Label","Delete Label"
"Exploded View Labels","Exploded View Labels"
"Item No.","Item No."
"Less","Less"
"Link Number","Link Number"
"More Info","More Info"
"More","More"
"No.","No."
"Number on Image","Number on Image"
"Specify the same number for each linked product in the "Number on Image" field in the Grouped Products section on this page.","Specify the same number for each linked product in the "Number on Image" field in the Grouped Products section on this page."
"Text","Text"
"Use this field when you need a text link instead of a clickable area.","Use this field when you need a text link instead of a clickable area."
